ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
1881,1-9317763035,FR C RODRIGUES INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
1882,1-9317763035,FR C RODRIGUES INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1883,1-9317826609,INDIRA INSTITUTE OF MANAGEMENT,Maharashtra,PUNE,Private-Self Financing,MANAGEMENT,"University of Pune, Pune",POST GRADUATE,MASTERS IN BUSINESS ADMINISTRATION,ACCREDITED,NBA,30-06-2023,240
1884,1-9317835776,TRIPURA INSTITUTE OF TECHNOLOGY,Tripura,WEST TRIPURA,Government,ENGINEERING AND TECHNOLOGY,"Tripura University, Agartala",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,60
1885,1-9317835776,TRIPURA INSTITUTE OF TECHNOLOGY,Tripura,WEST TRIPURA,Government,ENGINEERING AND TECHNOLOGY,"Tripura University, Agartala",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1886,1-9317835776,TRIPURA INSTITUTE OF TECHNOLOGY,Tripura,WEST TRIPURA,Government,ENGINEERING AND TECHNOLOGY,"Tripura University, Agartala",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1887,1-9317835776,TRIPURA INSTITUTE OF TECHNOLOGY,Tripura,WEST TRIPURA,Government,ENGINEERING AND TECHNOLOGY,"Tripura University, Agartala",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1888,1-9317704539,HIRASUGAR INSTIUTE OF TECHNOLOGY,Karnataka,BELGAUM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1889,1-9317704539,HIRASUGAR INSTIUTE OF TECHNOLOGY,Karnataka,BELGAUM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1890,1-9317704539,HIRASUGAR INSTIUTE OF TECHNOLOGY,Karnataka,BELGAUM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
